cbsa_name,cbsa_code,city_wiki_wikivoyage_text,tagline,summary
"Detroit-Warren-Dearborn, MI",19820,"Dearborn is a city in Wayne County in the U.S. state of Michigan. An inner-ring suburb of Detroit, Dearborn borders Detroit to the north and east, roughly 7 miles (11.3 km) west of downtown Detroit. In the 2020 census, it had a population of 109,976, ranking as the seventh-most populous city in Michigan. Dearborn is best known as the hometown of the Ford Motor Company and of its founder, Henry Ford.
The first written settlement of Dearborn is from the 18th century by French Canadian voyageurs who initially called the settlement La Belle Fontaine or Place aux Fontaines because of the abundant springs in the city. Therefore, Dearborn was once named Springwells, an anglicization of the French name. The settlement was connected to the Detroit River ribbon farm communities and other farms connected to the Rouge River and the Sauk Trail. The community grew in the 19th century with the establishment of the Detroit Arsenal on the Chicago Road linking Detroit and Chicago. During the 20th century, it developed as a major manufacturing hub for the automotive industry.
Henry Ford was born on a farm that was once at the intersection of Ford Road and Greenfield Road. Ford later built his estate, Fair Lane, and his River Rouge Complex, the largest factory of his empire, in Dearborn. He developed mass production of automobiles, and based the world headquarters of the Ford Motor Company here. The city has a campus of the University of Michigan, and Henry Ford College. The Henry Ford is the largest indoor-outdoor historic museum complex in the United States, and Metro Detroit's leading tourist attraction.
Dearborn residents are Americans primarily of European or Middle Eastern ancestry, many descendants of 19th and 20th-century immigrants. The census identifies primary European ethnicities as German, Polish, Irish, and Italian. New waves of immigration came from the Middle East in the late 20th century, mostly Muslims and far fewer Christians minorities from Lebanon, Palestine, Syria, Iraq, and Yemen. Dearborn has the proportionally largest Muslim population in the United States and the largest mosque in North America. In 2023, Dearborn became the first Arab-majority city in the US, with 55% of its residents claiming to be of Middle Eastern or North African ancestry in a 2023 survey.
Dearborn is a city in Wayne County in the state of Michigan. This article also covers the adjacent community of Dearborn Heights.

Detroit (  dih-TROYT, locally also  DEE-troyt) is the most populous city in the U.S. state of Michigan. It is situated on the bank of the Detroit River across from the Canadian city of Windsor, Ontario. It is the 26th-most populous city in the United States and the largest U.S. city on the Canada–United States border, with a population of 639,111 at the 2020 census. The Metro Detroit area, at over 4.4 million people, is the 14th-largest metropolitan area in the nation and second-largest in the Midwest (after the Chicago metropolitan area). The county seat of Wayne County, Detroit is a significant cultural center known for its contributions to music, art, architecture and design, in addition to its historical automotive and industrial background.
In 1701, French explorers Antoine de la Mothe Cadillac and Alphonse de Tonty founded Fort Pontchartrain du Détroit. During the late 19th and early 20th centuries, it became an important industrial hub at the center of the Great Lakes region. The city's population rose to be the fourth-largest in the nation by 1920, with the expansion of the automotive industry in the early 20th century. One of its main features, the Detroit River, became the busiest commercial hub in the world. In the mid-20th century, Detroit entered a state of urban decay that has continued to the present, as a result of industrial restructuring, the loss of jobs in the auto industry, and rapid suburbanization. Since reaching a peak of 1.85 million at the 1950 census, Detroit's population has declined by more than 65 percent. In 2013, Detroit became the largest U.S. city to file for bankruptcy, but successfully exited in 2014. In 2025, the U.S. Census Bureau reported that Detroit's population grew for a second consecutive year and led population growth in Michigan for the first time since the 1950s.
Detroit is a port on the Detroit River, one of the four major straits that connect the Great Lakes system to the St. Lawrence Seaway. The city anchors the third-largest regional economy in the Midwest and the 16th-largest in the United States. It is also best known as the center of the U.S. automotive industry, and the ""Big Three"" auto manufacturers—General Motors, Ford, and Stellantis North America (Chrysler)—are all headquartered in Metro Detroit. It houses the Detroit Metropolitan Airport, one of the most important hub airports in the United States. Detroit and the adjacent Canadian city of Windsor constitute the second-busiest international crossing in North America, after San Diego–Tijuana.
Detroit's culture is marked with diversity, having both local and international influences. Detroit gave rise to the music genres of Motown and techno, and also played an important role in the development of jazz, hip-hop, rock, and punk. As a result of the city's rapid growth in its boom years, Detroit has many globally unique architectural monuments and historic places. Since the 2000s, conservation efforts have managed to save many architectural pieces and achieve several large-scale revitalizations, including the restoration of several historic theaters and entertainment venues, high-rise renovations, new sports stadiums, and a riverfront revitalization project. Detroit is an increasingly popular tourist destination which caters to about 16 million visitors per year. In 2015, Detroit was designated a ""City of Design"" by UNESCO, the first and only U.S. city to receive this designation.
Detroit is a major metropolis in the US state of Michigan that has had a profound impact on the world. From the advent of the automotive assembly line to the Motown sound, modern techno and rock music, Detroit continues to shape both American and global culture. The city has seen many of its historic buildings renovated, and is bustling with new developments and attractions that complement its world-class museums and theatres. After a long economic slump and decrease in population, Detroit has developed a reputation for crime and urban decline, but revitalization means that it is an exciting destination filled with technological advance and historic charm.

Farmington Hills is a city in Oakland County in the U.S. state of Michigan. A northwestern suburb of Detroit, Farmington Hills is located roughly 22 miles (35.4 km) from downtown Detroit. As of the 2020 census, the city's population was 83,986, making it the second-largest community in Oakland County.
Although the two cities have separate services and addresses, Farmington and Farmington Hills are often thought of as the same community. These two cities combined were part of Farmington Township in the time of the Northwest Territory. The community has several historical sites, including the Governor Warner Mansion. Both cities are served by Farmington Public Schools and the Farmington Community Library.
Farmington Hills is the home of the Zekelman Holocaust Center, the only Holocaust memorial in the State of Michigan. The Zekelman Holocaust Center was originally located in neighboring West Bloomfield Township, but has since expanded and moved to its current facility.
Farmington Hills is a city in Oakland County in Michigan. It almost completely surrounds the smaller city of Farmington.

Livonia ( lə-VOHN-yə) is a city in Wayne County in the U.S. state of Michigan. A western suburb of Detroit, Livonia is located roughly 20 miles (32.2 km) northwest of downtown Detroit. As of the 2020 census, the city had a population of 95,535. Originally organized as Livonia Township in 1835, it was incorporated as a city in 1950.
Livonia is a city in Wayne County in the state of Michigan.

Novi (  NOH-vy) is a city in Oakland County in the U.S. state of Michigan. A northwestern suburb of Detroit, Novi is located roughly 25 miles (40.2 km) northwest of downtown Detroit. As of the 2020 census, the city had a population of 66,243, an increase of 20% from the 2010 census.
Novi is a city in Southeast Michigan.

Pontiac ( PON-(t)ee-ak) is a city in and the county seat of Oakland County, Michigan, United States. Located roughly 26 miles (41.8 km) northwest of downtown Detroit, Pontiac is part of the Detroit metropolitan area and is variously described as a satellite city or suburb of Detroit. As of the 2020 census, the city had a population of 61,606.
Founded in 1818, Pontiac was the second European-American organized settlement in Michigan near Detroit, after Dearborn. It was named after Obwaandi'eyaag (Pontiac), a war chief of the Odawa, who occupied the area before the European settlers. The city was best known for its General Motors automobile manufacturing plants of the 20th century, which were the basis of its economy and contributed to the wealth of the region. These included Fisher Body, Pontiac East Assembly (a.k.a. Truck & Coach/Bus), which manufactured GMC products, and the Pontiac Motor Division. In the city's heyday, it was the site of the primary automobile assembly plant for the production of the famed Pontiac cars, a brand that was named after the city. The Pontiac brand itself was discontinued in 2010 by General Motors. The City of Pontiac also was home to Oakland Motor Car Company, which was acquired by General Motors in 1909.
In 1975, the city built the Pontiac Silverdome, the stadium that hosted the Detroit Lions of the National Football League from 1975 to 2001, when the team returned to Downtown Detroit at Ford Field. Super Bowl XVI was played at the Silverdome in 1982. After 2001, the stadium continued to be used for concerts and other events until it was demolished in 2018.  It is now the site of an Amazon Fulfillment and Distribution facility.
Pontiac is a city in Oakland County, Michigan, and a satellite city of Detroit.

Southfield is a city in Oakland County in the U.S. state of Michigan. An inner-ring suburb of Detroit, Southfield lies roughly 15 miles (24.1 km) northwest of downtown Detroit. The city had a population of 76,618 at the 2020 census.
Southfield home to multiple business districts, including the Southfield City Centre (an edge city which contains the tallest building in Detroit's suburbs) and the area surrounding the former Northland Center shopping mall. It is also home to  Lawrence Technological University. The city was originally part of Southfield Township before incorporating in 1958. The autonomous city of Lathrup Village is an enclave within Southfield.
Southfield is a suburban city in Oakland County, in the Metro Detroit region of Michigan. It is one of Metro Detroit's major suburban commercial and business centers. Inside of Southfield is the enclave city of Lathrup Village.

Troy is a city in Oakland County in the U.S. state of Michigan. A northern suburb of Detroit, Troy is located about 15 miles (24 km) north of downtown Detroit. As of the 2020 census, the city had a population of 87,294, making Troy the largest community in Oakland County and 13th-most populous municipality in the state.
Troy was organized as a township in 1827, and sections of the township were later incorporated into the cities of Birmingham, Clawson, and Royal Oak. The remainder of the township was incorporated as the city of Troy in 1955.
Troy is a city in Michigan and a suburb of Detroit.

Warren is a city in Macomb County in the U.S. state of Michigan. An inner-ring suburb of Detroit, Warren borders Detroit to the north, roughly 13 miles (20.9 km) north of downtown Detroit. The population was 139,387 at the 2020 census, making Warren the largest community in Macomb County, the third-largest city in Michigan, and Detroit's largest suburb.
The city is home to a wide variety of businesses, including the General Motors Technical Center, the United States Army Detroit Arsenal, home of the United States Army TACOM Life Cycle Management Command and the Tank Automotive Research, Development and Engineering Center (TARDEC), and the headquarters of Asset Acceptance.
Warren is the largest suburb in Metro Detroit.",Vibrant automotive hub with diverse cultural heritage and revitalized urban core,"The Detroit-Warren-Dearborn metro area is a dynamic and multifaceted region in Michigan. As the historic center of the U.S. automotive industry, this metro is home to the headquarters and major manufacturing facilities of the ""Big Three"" automakers - General Motors, Ford, and Stellantis (Chrysler). The region has a strong technology and engineering focus, with the presence of the United States Army Detroit Arsenal and the Tank Automotive Research, Development and Engineering Center. Beyond its industrial legacy, the metro area boasts a rich cultural heritage, with Dearborn being the largest Muslim-majority city in the U.S. and a hub for Middle Eastern immigration. The region has also seen significant revitalization efforts, with the restoration of historic buildings and development of new attractions and amenities that complement its world-class museums and entertainment venues. While the metro has faced economic challenges in the past, it is now an exciting destination that blends technological innovation, diverse cultural influences, and a renewed urban vibrancy."
"Dickinson, ND",19860,"Dickinson is a city in and the county seat of Stark County, North Dakota, United States. The population was 25,679 at the 2020 census, making it the seventh most populous city in North Dakota. Dickinson, founded in 1881, is also home to Dickinson State University.
Since the North Dakota oil boom the city has become one of the fastest-growing cities in the United States. According to the 2020 census, the city is estimated to have a population of 25,679, however, other sources have estimates of the population at 33,646 or possibly exceeding 35,000. Dickinson is home to the Ukrainian Cultural Institute, which has a museum and holds events year-round for the local Ukrainian community.
Dickinson is the principal city of the Dickinson Micropolitan Statistical Area, a micropolitan area that covers Billings and Stark counties and had a combined population of 34,591 at the 2020 census.
Dickinson is a town in Western North Dakota. It has a population of 24,000 people in 2020 census.",Dynamic economy and small-town charm in Western North Dakota,"Dickinson, North Dakota is a rapidly growing city that has become one of the fastest-growing in the United States, thanks in large part to the North Dakota oil boom. With a population of around 25,000 as of the 2020 census, the city is the seventh most populous in the state and the principal city of the Dickinson Micropolitan Statistical Area. Despite its growth, Dickinson maintains a small-town charm, being home to the Ukrainian Cultural Institute which hosts events year-round for the local Ukrainian community. The city is also the county seat of Stark County, and is home to Dickinson State University, providing educational and cultural opportunities for residents."
"Dixon, IL",19940,"Dixon is a city in Lee County, Illinois, United States, and its county seat. The population was 15,274 as of the 2020 census. The city is named after founder John Dixon, who operated a rope ferry service across the Rock River, which runs through the city. The Illinois General Assembly designated Dixon as ""Petunia Capital of Illinois"" in 1999 and ""The Catfish Capital of Illinois"" in 2009.
Dixon was the boyhood home of former U.S. President Ronald Reagan. The city is also the site of the Lincoln Monument State Memorial, marking the spot where Abraham Lincoln joined the Illinois militia at Fort Dixon in 1832 during the Black Hawk War. The memorial is located on the west side of Dixon's main north–south street, Galena Avenue (U.S. Route 52, also Illinois Route 26), north of the Rock River. The city is also the site of the Dixon Bridge Disaster of 1873, the worst road bridge disaster in American history. A marker for the disaster stands near the Lincoln Statue, on the north bank of the river.
Dixon is called ""The Petunia City"" but is probably best known as the boyhood home of former US President Ronald Reagan.",Historic hometown of President Reagan with scenic river and floral attractions.,"Dixon is a small city in Illinois known for its rich history and natural beauty. As the boyhood home of former U.S. President Ronald Reagan, the city takes pride in this historic connection and honors his legacy. The city is also designated as both the ""Petunia Capital of Illinois"" and the ""Catfish Capital of Illinois"" due to its thriving floral displays and local fishing opportunities along the Rock River that runs through the heart of Dixon. With a population of around 15,000, Dixon offers a tight-knit community feel while providing access to outdoor recreation and the cultural attractions associated with the former president's upbringing in the area."
"Dodge City, KS",19980,"Dodge City is a city in and the county seat of Ford County, Kansas, United States.  As of the 2020 census, the population of the city was 27,788.  It was named after nearby Fort Dodge, which was named in honor of Grenville Dodge.  The city is known in American culture for its history as a wild frontier town of the Old West.
Dodge City is a town of 27,000 people (2019) in the Western region of Kansas. In and around the city, there are historical sites, museums, and landmarks dedicated to Dodge City's Old West heritage.","Historic Old West heritage with a population of 27,000.","Dodge City is a small city of around 27,000 people located in the western region of Kansas. The city is known for its rich history as a wild frontier town of the Old West, with numerous historical sites, museums, and landmarks celebrating this heritage. Visitors and residents can explore the city's connections to its frontier past and immerse themselves in the iconic imagery of the American West."
"Dothan, AL",20020,"Dothan is a city in and the county seat of Houston County in the U.S. state of Alabama. A slight portion of the city extends into Dale and Henry counties. It had a population of 71,258 at the 2020 census, making it Alabama's eighth-largest city by population and the 5th largest in Alabama by total area. It is near the state's southeastern corner, about 20 miles (32 km) west of Georgia and 16 miles (26 km) north of Florida. It is named after the biblical city of Dothan.
Dothan is the principal city of the Dothan, Alabama metropolitan area, which encompasses all of Geneva, Henry, and Houston counties; the small portion in Dale County is part of the Ozark Micropolitan Statistical Area. Together they form the Dothan-Ozark Combined Statistical Area. Coffee County and its Enterprise micropolitan area was originally combined as a statistical area with both Dothan and Ozark as well, but is now split off as its own statistical area by the US Census Bureau. Together they form the Alabama portion of the Wiregrass region, of which Dothan is that portion's largest city. The combined population of the entire Dothan metropolitan area in 2020 was 151,007. The city is the main transportation and commercial hub for a significant part of southeastern Alabama, southwest Georgia, and nearby portions of the Florida Panhandle. Since approximately one-fourth of the U.S. peanut crop is produced nearby, much of it processed in the city, Dothan is known as ""The Peanut Capital of the World"". It also hosts the annual National Peanut Festival at the Peanut Festival Fairgrounds.
Dothan is a city in southeastern Alabama, serving as the county seat of Houston County, and the chief city of the western Wiregrass region, an area encompassing portions of southeastern Alabama, southwestern Georgia, and the panhandle of Florida.  Its population in 2018 was about 68,000, making it the largest metropolitan area in southeastern Alabama.",Hub for Alabama's peanut industry with a diverse economy,"Dothan, Alabama is a vibrant city known for its thriving peanut industry. As the self-proclaimed ""Peanut Capital of the World,"" Dothan is a major hub for processing and distributing the region's significant peanut crop. Beyond its agricultural roots, the city also serves as the commercial and transportation center for a large swath of southeastern Alabama, southwestern Georgia, and the Florida Panhandle. With a population of around 68,000, Dothan offers a diverse economy spanning sectors like healthcare, retail, and manufacturing. The city's location in the western Wiregrass region provides residents with a mild climate and easy access to nearby Georgia and Florida."
"Douglas, GA",20060,"Douglas is a city in Coffee County, Georgia, United States. As of the 2020 census, the city had a population of 11,722. Douglas is the county seat of Coffee County and the core city of the Douglas micropolitan statistical area, which had a population of 50,731 as of the 2010 census.
Douglas is in the Plantation Midlands of Georgia.",Thriving economy with a small-town charm,"Douglas, Georgia offers a unique blend of economic opportunity and small-town living. As the county seat of Coffee County, the city serves as the core of the Douglas micropolitan statistical area, which had a population of over 50,000 as of the 2010 census. Situated in the Plantation Midlands region of Georgia, Douglas provides residents with a charming, close-knit community atmosphere. The city's thriving economy and role as a county seat suggest ample job opportunities and a robust local infrastructure to support those seeking to relocate."
"Dover, DE",20100,"Dover ( DOH-vər) is the capital and the second-most populous city of the U.S. state of Delaware, after Wilmington. It is also the county seat of Kent County and the principal city of the Dover metropolitan statistical area, which encompasses all of Kent County and is part of the Philadelphia–Wilmington–Camden, PA–NJ–DE–MD, combined statistical area. It is located on the St. Jones River in the Delaware River coastal plain. It was named by William Penn for Dover in Kent, England (for which Kent County is named). As of 2020, its population was 39,403.


Dover is the capital of Delaware. It is in the central part of the state in Kent County, approximately midway between Wilmington and Rehoboth Beach. Dover is home to several historic sites and recreational areas are nearby.",Historic state capital with nearby outdoor recreation,"Dover is the capital city of Delaware, located in the central part of the state in Kent County. As the state capital, it is home to several historic sites that reflect the city's important role in Delaware's history. Beyond the historic attractions, Dover is surrounded by recreational areas, offering residents and visitors the opportunity to enjoy nature and outdoor activities. The city's location, midway between Wilmington and Rehoboth Beach, provides convenient access to both urban and coastal environments."
"DuBois, PA",20180,"DuBois ( doo-BOYZ) is a city and the most populous community in Clearfield County, Pennsylvania, United States. DuBois is located approximately 100 miles (160 km) northeast of Pittsburgh. The population was 7,510 as of the 2020 census. It is the principal city in the DuBois, PA Micropolitan Statistical Area. DuBois is also one of two principal cities, the other being State College, that make up the larger State College-DuBois, PA Combined Statistical Area.
DuBois is a city and largest community in Clearfield County in the state of Pennsylvania.  The community lies within the Pennsylvania Wilds.",Outdoor recreation hub in the Pennsylvania Wilds,"DuBois is a city located in the heart of the Pennsylvania Wilds, a vast region known for its stunning natural beauty. As the largest community in Clearfield County, DuBois offers a range of outdoor recreational opportunities, from hiking and camping to fishing and hunting. The city's proximity to the Pennsylvania Wilds provides easy access to the area's vast forests, streams, and wildlife. DuBois is a convenient home base for those seeking to immerse themselves in the great outdoors while still enjoying the amenities of a small city, including a range of local shops and restaurants."
"Dublin, GA",20140,"Dublin is a city in and the county seat of Laurens County, Georgia, United States. The population was 16,074 at the 2020 census.
Dublin (Irish: Baile Átha Cliath, ""Town of the Hurdled Ford"") is the capital city of Ireland. Its vibrancy, nightlife and tourist attractions are world renowned and it's the most popular entry point for international visitors to Ireland.
As a city, it is disproportionately large for the size of the country with a population of over 2 million in the Greater Dublin Region (2022); nearly half of the Republic's population lives in this metropolitan area. The central sights can be navigated by foot, with a few outlying sights, and suburbs sprawling out for miles.
The climate is mild, making Dublin a year-round destination. It's seldom freezing in winter, cool in summer and frequently has light showers. For more information, see County Dublin weather chart.",Thriving small town with a robust economy and mild climate,"Dublin, Georgia is a small but thriving city with a robust economy and a mild climate. The city serves as the county seat of Laurens County and had a population of over 16,000 as of the 2020 census. Dublin enjoys a year-round moderate climate, with cool summers and infrequent freezing temperatures in the winters. The city's location and economic strengths make it an appealing option for those considering a move, offering the benefits of a small town with access to a diverse range of employment opportunities."
"Dubuque, IA",20220,"Dubuque ( , dəb-YOOK) is a city in Dubuque County, Iowa, United States, and its county seat. The population was 59,667 at the 2020 census. The city lies along the Mississippi River at the junction of Iowa, Illinois, and Wisconsin, a region locally known as the Tri-State Area. It serves as the main commercial, industrial, educational, and cultural center for the area. Geographically, it is part of the Driftless Area, a portion of North America that escaped all three phases of the Wisconsin Glaciation, resulting in a hilly topography unlike most of the Midwestern United States.
Dubuque is a regional tourist destination featuring the city's architecture, casinos, and riverside location. It is home to five institutions of higher education. While Dubuque has historically been a center of manufacturing, the local economy also includes health care, publishing, and financial service sectors.
Dubuque, founded in 1833, is the oldest city in Iowa. A port on the upper Mississippi River, it is situated along scenic bluffs facing the river, and has its roots in a mining and trading settlement established in the area by Quebec-born entrepreneur Julien Dubuque in 1788. The city's population is 57,686 (2000 Census), and the estimated population of the Dubuque metropolitan area is 93,072.",Charming riverside city with strong manufacturing and healthcare sectors.,"Dubuque is a historic city situated along the picturesque Mississippi River in the tri-state area of Iowa, Illinois, and Wisconsin. As the oldest city in Iowa, Dubuque has a rich cultural heritage and serves as a regional hub for commerce, education, and tourism. The local economy is diverse, with a strong presence in manufacturing, healthcare, publishing, and financial services. Dubuque is home to five institutions of higher education, adding to its vibrant intellectual and cultural life. The city's unique hilly topography, a result of its location in the Driftless Area, offers scenic riverside views and a distinctive natural environment. Dubuque's position as a port on the upper Mississippi River and its status as a regional tourist destination further contribute to its appeal for those considering relocation."
"Duluth, MN-WI",20260,"Duluth (  də-LOOTH) is a port city in the U.S. state of Minnesota and the county seat of St. Louis County. Located on Lake Superior in Minnesota's Arrowhead Region, the city is a hub for cargo shipping. The population was 86,697 at the 2020 census, making it Minnesota's fifth-largest city. Duluth forms a metropolitan area with neighboring Superior, Wisconsin, called the Twin Ports. Duluth is south of the Iron Range and the Boundary Waters Canoe Area Wilderness. It is named after Daniel Greysolon, Sieur du Lhut, the area's first known European explorer.
Duluth is on the north shore of Lake Superior at the westernmost point of the Great Lakes. It is the largest metropolitan area, the second-largest city, and the largest U.S. city on the lake. Duluth is accessible to the Atlantic Ocean, 2,300 miles (3,700 km) away, via the Great Lakes Waterway and St. Lawrence Seaway. The Port of Duluth is the world's farthest inland port accessible to oceangoing ships and is the largest and busiest port on the Great Lakes. It is also among the top 20 U.S. ports by tonnage. Common items shipped through Duluth include coal, iron ore, grain, limestone, cement, salt, wood pulp, steel coil, and wind turbine parts.
Duluth is a popular Midwest tourist destination. The city is home to the Great Lakes Aquarium, a freshwater aquarium. The Aerial Lift Bridge, next to Canal Park, crosses the Duluth Ship Canal into the Duluth–Superior harbor. Minnesota Point, known locally as Park Point, is the world's longest freshwater baymouth bar, stretching 6 miles (10 km). The city is also the starting point for road trips along the North Shore of Lake Superior to Thunder Bay, Ontario.
Duluth is a city of about 86,000 people (2018) in northern Minnesota.  It is one of the most scenic cities in the Midwest. Duluth has a thriving tourism industry, with antique shops, excellent restaurants, cozy inns, and scenic views of the lake. There is a ski resort inside city limits.",Major shipping hub with scenic lakefront and outdoor recreation,"Duluth is a thriving port city situated on the shores of Lake Superior in northern Minnesota. As the largest and busiest port on the Great Lakes, Duluth serves as a major shipping hub for a wide range of cargo, including coal, iron ore, grain, and wind turbine parts. The city's location along the western edge of the Great Lakes provides easy access to the Atlantic Ocean via the Great Lakes Waterway and St. Lawrence Seaway. Beyond its industrial roots, Duluth is known for its picturesque lakefront, which features the iconic Aerial Lift Bridge and the world's longest freshwater baymouth bar. The city is a popular Midwest tourist destination, offering a variety of attractions such as the Great Lakes Aquarium, as well as outdoor recreation opportunities like skiing within the city limits."
"Dumas, TX",20300,"Dumas ( DEW-məs) is a city in and the county seat of Moore County, Texas, United States. The population was 14,501 at the 2020 census. Located approximately 40 miles north of Amarillo, the city is named for its founder, Louis Dumas (1856–1923). Dumas Avenue, the main thoroughfare, is also United States Highways 87 and 287.
Window on the Plains Museum, which offers exhibits on Moore County and the Texas Panhandle, is located on South Dumas Avenue, the main thoroughfare. Dumas is home to Moore County Airport, a general-aviation airport two miles west of the central business district.
The Dumas government claims, with some documentation, that the song ""I'm a Ding Dong Daddy From Dumas"" was written about the city. Composed in the late 1920s by Phil Baxter (a native Texan who lived for a time in Dumas) and Carl Moore, the song has also sometimes been claimed by Dumas in Desha County in southeastern Arkansas.
Dumas is a city on the High Plains of the Texas Panhandle.",Strong agricultural economy and vibrant small-town community,"Dumas is a city located in the Texas Panhandle, about 40 miles north of Amarillo. With a population of over 14,500 people, Dumas is the county seat of Moore County and known for its strong agricultural economy. The city is home to the Window on the Plains Museum, which showcases the history and culture of the local region. Dumas also has a general aviation airport, providing convenient air travel options for residents. The city's main thoroughfare, Dumas Avenue, is part of the United States Highways 87 and 287, connecting the community to the broader region. While the origins of the song ""I'm a Ding Dong Daddy From Dumas"" are debated, the city proudly claims it as its own, highlighting the vibrant small-town character of Dumas."
"Duncan, OK",20340,"Duncan is a city in and the county seat of Stephens County, Oklahoma, United States. Its population was 22,310 at the 2020 census. Centrally located in Stephens County, Duncan became the county seat after Oklahoma achieved statehood in 1907. Oil wells opened in Stephens County in 1918 and led to rapid development. Cotton was a dominant crop until the Dust Bowl brought its decline, but cattle remain an important part of the economy. The Chisholm Trail passed to the east of Duncan prior to the town's founding, which is home to the Chisholm Trail Heritage Center.
Duncan is the birthplace of the Halliburton Corporation. Erle P. Halliburton established the New Method Oil Well Cementing Company in 1919. Halliburton maintains seven different complexes in Duncan plus an employee recreational park, but the corporate offices relocated first to Dallas and later to Houston.
Duncan is in the Great Plains Country region of southwest Oklahoma, known as the ""Crepe Myrtle Capital of Oklahoma"" and as the place of origin of the petrochemical giant Halliburton. This article also covers the nearby town of Marlow.",Thriving oil and gas industry with small-town charm,"Duncan, Oklahoma is a city with a rich history and a strong economy centered around the oil and gas industry. Established in 1907, the city has been home to the Halliburton Corporation since its founding in 1919. Today, Halliburton maintains several complexes in Duncan, making it a hub for the petrochemical industry. Despite its industrial roots, Duncan offers a small-town feel, known as the ""Crepe Myrtle Capital of Oklahoma"" for its abundance of the flowering trees. Located in the Great Plains region of southwest Oklahoma, Duncan provides a peaceful, rural setting with easy access to the amenities and job opportunities in the oil and gas sector."
"Durango, CO",20420,"Durango is the home rule city that is the county seat of and the most populous municipality of La Plata County, Colorado, United States. The city population was 19,071 at the 2020 United States census. Durango is the home of Fort Lewis College.
Durango is a town in the southwestern part of the Rocky Mountains state of Colorado.",Vibrant college town surrounded by stunning Rocky Mountains.,"Durango is a thriving college town nestled in the heart of the Rocky Mountains. As the home of Fort Lewis College, the city benefits from a youthful and dynamic population, with a wealth of cultural and educational opportunities. Surrounded by breathtaking natural scenery, Durango offers residents the chance to enjoy an active, outdoor-oriented lifestyle, with easy access to a variety of recreational pursuits in the nearby mountains. While the specific population size is not provided, the text indicates that Durango is the most populous municipality in La Plata County, Colorado, suggesting a lively and bustling community."
"Durant, OK",20460,"Durant () is a city in and the county seat of Bryan County, Oklahoma, United States. The population was 18,589 in the 2020 census. It is the home of the headquarters of the Choctaw Nation, and is the largest settlement on the reservation, ranking ahead of McAlester and Poteau. Durant is the principal city of the Durant Micropolitan Statistical Area, which had a population of 46,067 in 2020. Durant is also part of the Dallas–Fort Worth Combined Statistical Area, anchoring the northern edge.
The city was founded by Dixon Durant, a Choctaw who lived in the area, after the MK&T railroad came through the Indian Territory in the early 1870s. It became the county seat of Bryan County in 1907 after Oklahoma statehood.
Durant is home to Southeastern Oklahoma State University and the headquarters of the Choctaw Nation. The city is officially known as the Magnolia Capital of Oklahoma. The city and its micropolitan are a major part of the Texoma region.
Durant is in the Chickasaw Country region of Oklahoma. Teddy and Eleanor Roosevelt once spoke here, even though it was a sundown town. It gained impetus through the railroad and eventually became a major commerce area for the Choctaw Tribe, with their casino and other investments.","Vibrant Choctaw heritage, university town, and regional commerce hub","Durant, Oklahoma is a thriving city with a rich Choctaw heritage. As the headquarters of the Choctaw Nation and home to Southeastern Oklahoma State University, the city offers a unique blend of cultural experiences and educational opportunities. The city's history is deeply intertwined with the railroad, which helped establish it as a major commerce area for the Choctaw Tribe. Today, Durant serves as a regional hub, anchoring the northern edge of the Dallas-Fort Worth metropolitan area. With the Choctaw casino and other investments, the city continues to be a significant commercial center, providing ample opportunities for those considering relocation."
